nombre,apellido,partido,ciudad,bio,propuesta_electoral,tipos_eleccion,lista_electoral,territorio,region,eleccion,nro_lista,revision_apellido
Lautaro,Guanca Vallejos,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 22,De La Araucania,Diputado,56,
Luis,Islas Cofre,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 21,Del Biobio,Diputado,56,
Marco,Ramo Paez,Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 3,De Antofagasta,Diputado,56,
Sandra Patricia,Sanchez Aguilar,Independiente Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 17,Del Maule,Diputado,56,
Tania,Madriaga Flores,Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 7,De Valparaiso,Diputado,56,
Yanixsa,Aguilera Catalan,Independiente Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 6,De Valparaiso,Diputado,56,
Alejandro,Campusano Massad,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 5,De Coquimbo,Diputado,57,
Carlos,Muñoz Lecerf,Independiente Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 7,De Valparaiso,Diputado,57,
Erica,Velasquez Montenegro,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 8,Metropolitana De Santiago,Diputado,57,
Javiera,Gonzalez Arenas,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 10,Metropolitana De Santiago,Diputado,57,
Jose,Nuñez Herrera,Independiente Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 17,Del Maule,Diputado,57,
Jose,Sepulveda Zelada,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 9,Metropolitana De Santiago,Diputado,57,
Juan Pablo,Jaramillo Gonzalez,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 22,De La Araucania,Diputado,57,
Melina,Gianelli Altamirano,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 11,Metropolitana De Santiago,Diputado,57,
Pamela,Gonzalez Muñoz,Independiente Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 6,De Valparaiso,Diputado,57,
Ricardo,Santana Perez,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 12,Metropolitana De Santiago,Diputado,57,
Rodrigo,Reinoso Cendoya,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 21,Del Biobio,Diputado,57,
Sara,Pascual Rodriguez,Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 14,Metropolitana De Santiago,Diputado,57,
Wilson,Olivares Bustamante,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 19,De Ñuble,Diputado,57,
Daniel,Sandoval Poblete,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 23,De La Araucania,Diputado,58,
Francisca,Salama Pimentel,Independiente Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 6,De Valparaiso,Diputado,58,
Jaime,Cayuqueo Zambrano,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 8,Metropolitana De Santiago,Diputado,58,
Joaquin,Sanhueza Villaman,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 21,Del Biobio,Diputado,58,
Katherine,Perez Contreras,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 10,Metropolitana De Santiago,Diputado,58,
Lucia,Ortiz Leon,Independiente Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 7,De Valparaiso,Diputado,58,
Maria,Romero Peña,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 19,De Ñuble,Diputado,58,
Rosa,Pinto Rojas,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 5,De Coquimbo,Diputado,58,
Catalina,Medina Rivas,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 19,De Ñuble,Diputado,59,
Claudio,Valle Figueroa,Independiente Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 7,De Valparaiso,Diputado,59,
Jorge,Rivas Figueroa,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 21,Del Biobio,Diputado,59,
Luis,Hurtado Muñoz,Independiente Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 6,De Valparaiso,Diputado,59,
Marcelo,Carrasco Carrasco,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 23,De La Araucania,Diputado,59,
Marcia,Soto Diaz,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 10,Metropolitana De Santiago,Diputado,59,
Ana,Albornoz Cuevas,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 20,Del Biobio,Diputado,60,
Fanny,Araya Bahamonde,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 19,De Ñuble,Diputado,60,
Pamela,Ñancupil Martin,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 23,De La Araucania,Diputado,60,
Daniel,Hidalgo Veloso,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 23,De La Araucania,Diputado,61,
Elsa,Olave Soto,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 20,Del Biobio,Diputado,61,
Patricia,Torres Astete,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 19,De Ñuble,Diputado,61,
Oscar,Albornoz Torres,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 23,De La Araucania,Diputado,62,
Romina,Toledo Quevedo,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 20,Del Biobio,Diputado,62,
Ana,Nicul Sabaria,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 23,De La Araucania,Diputado,63,
Mario,Gonzalez Figueroa,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 20,Del Biobio,Diputado,63,
Alejandro,Navarro Brain,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 20,Del Biobio,Diputado,64,
Hector,Cumilaf Huentemil,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 23,De La Araucania,Diputado,64,
Gustavo,Sotomayor Olate,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 20,Del Biobio,Diputado,65,
Patricia,Escobar Apablaza,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 23,De La Araucania,Diputado,65,
Felipe,Romero Pedreros,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 20,Del Biobio,Diputado,66,
Jorge,Aguayo Cerro,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 20,Del Biobio,Diputado,67,
Yasna,Provoste Campillay,Demócrata Cristiano,,,,Senadores 2025,C. Unidad por Chile,Circunscripción Senatorial 4,De Atacama,Senador,11,
Cinthia,Vargas Morales,Independiente Socialista de Chile,,,,Senadores 2025,C. Unidad por Chile,Circunscripción Senatorial 1,De Arica Y Parinacota,Senador,12,
Daniella,Cicardini Milla,Socialista de Chile,,,,Senadores 2025,C. Unidad por Chile,Circunscripción Senatorial 4,De Atacama,Senador,12,
Danisa,Astudillo Peiretti,Socialista de Chile,,,,Senadores 2025,C. Unidad por Chile,Circunscripción Senatorial 2,De Tarapaca,Senador,12,
Francisco,Huenchumilla Jaramillo,Demócrata Cristiano,,,,Senadores 2025,C. Unidad por Chile,Circunscripción Senatorial 11,De La Araucania,Senador,13,
Gonzalo,Prieto Navarrete,Por La Democracia,,,,Senadores 2025,C. Unidad por Chile,Circunscripción Senatorial 2,De Tarapaca,Senador,13,
Vlado,Mirosevic Verdugo,Liberal de Chile,,,,Senadores 2025,C. Unidad por Chile,Circunscripción Senatorial 1,De Arica Y Parinacota,Senador,13,
Ximena,Ordenes Neira,Independiente Por La Democracia,,,,Senadores 2025,C. Unidad por Chile,Circunscripción Senatorial 14,De Aysen Del General Carlos Ibañez Del Campo,Senador,13,
Carmen,Hertz Cadiz,Comunista de Chile,,,,Senadores 2025,C. Unidad por Chile,Circunscripción Senatorial 1,De Arica Y Parinacota,Senador,14,
Elisa,Loncon Antileo,Independiente Comunista de Chile,,,,Senadores 2025,C. Unidad por Chile,Circunscripción Senatorial 11,De La Araucania,Senador,14,
Hugo,Gutierrez Galvez,Comunista de Chile,,,,Senadores 2025,C. Unidad por Chile,Circunscripción Senatorial 2,De Tarapaca,Senador,14,
Tomas,Laibe Saez,Socialista de Chile,,,,Senadores 2025,C. Unidad por Chile,Circunscripción Senatorial 14,De Aysen Del General Carlos Ibañez Del Campo,Senador,14,
Karol,Cariola Oliva,Comunista de Chile,,,,Senadores 2025,C. Unidad por Chile,Circunscripción Senatorial 6,De Valparaiso,Senador,15,
Ricardo,Celis Araya,Independiente Por La Democracia,,,,Senadores 2025,C. Unidad por Chile,Circunscripción Senatorial 11,De La Araucania,Senador,15,
Rodrigo,Araya Morales,Frente Amplio,,,,Senadores 2025,C. Unidad por Chile,Circunscripción Senatorial 14,De Aysen Del General Carlos Ibañez Del Campo,Senador,15,
Carolina,Marzan Pinto,Por La Democracia,,,,Senadores 2025,C. Unidad por Chile,Circunscripción Senatorial 6,De Valparaiso,Senador,16,
Eugenio,Tuma Zedan,Independiente Liberal de Chile,,,,Senadores 2025,C. Unidad por Chile,Circunscripción Senatorial 11,De La Araucania,Senador,16,
Paulina,Vodanovic Rojas,Socialista de Chile,,,,Senadores 2025,C. Unidad por Chile,Circunscripción Senatorial 9,Del Maule,Senador,16,
Diego,Ibañez Cotroneo,Frente Amplio,,,,Senadores 2025,C. Unidad por Chile,Circunscripción Senatorial 6,De Valparaiso,Senador,17,
Ronald,Kliebs Yañez,Socialista de Chile,,,,Senadores 2025,C. Unidad por Chile,Circunscripción Senatorial 11,De La Araucania,Senador,17,
Sixto,Gonzalez Soto,Comunista de Chile,,,,Senadores 2025,C. Unidad por Chile,Circunscripción Senatorial 9,Del Maule,Senador,17,
Beatriz,Sanchez Muñoz,Frente Amplio,,,,Senadores 2025,C. Unidad por Chile,Circunscripción Senatorial 9,Del Maule,Senador,18,
Cristian,Epuin Brevis,Radical de Chile,,,,Senadores 2025,C. Unidad por Chile,Circunscripción Senatorial 11,De La Araucania,Senador,18,
Monica Alicia,Valencia Becerra,Independiente Liberal de Chile,,,,Senadores 2025,C. Unidad por Chile,Circunscripción Senatorial 6,De Valparaiso,Senador,18,
Jazmin,Aguilar Ortiz,Radical de Chile,,,,Senadores 2025,C. Unidad por Chile,Circunscripción Senatorial 6,De Valparaiso,Senador,19,
Ricardo,Lizama Soto,Por La Democracia,,,,Senadores 2025,C. Unidad por Chile,Circunscripción Senatorial 9,Del Maule,Senador,19,
Jose Miguel,Insulza Salinas,Socialista de Chile,,,,Senadores 2025,C. Unidad por Chile,Circunscripción Senatorial 6,De Valparaiso,Senador,20,
Juan Carlos,Figueroa Urrutia,Demócrata Cristiano,,,,Senadores 2025,C. Unidad por Chile,Circunscripción Senatorial 9,Del Maule,Senador,20,
Alexis,Sepulveda Soto,Radical de Chile,,,,Senadores 2025,C. Unidad por Chile,Circunscripción Senatorial 9,Del Maule,Senador,21,
Javiera,Morales Alvarado,Frente Amplio,,,,Diputados 2025,C. Unidad por Chile,Distrito 28,De Magallanes Y De La Antartica Chilena,Diputado,53,
Veronica,Aguilar Martinez,Independiente Radical de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 28,De Magallanes Y De La Antartica Chilena,Diputado,54,
Andrea,Macias Palma,Socialista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 27,De Aysen Del General Carlos Ibañez Del Campo,Diputado,55,
Ivania,Salinas Villanueva,Comunista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 28,De Magallanes Y De La Antartica Chilena,Diputado,55,
Luis,Malla Valenzuela,Liberal de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 1,De Arica Y Parinacota,Diputado,55,
Matias,Ramirez Pascal,Comunista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 2,De Tarapaca,Diputado,55,
Ana Maria,Bravo Castro,Socialista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 24,De Los Rios,Diputado,56,
Carlos Jose,Carvajal Gallardo,Independiente Por La Democracia,,,,Diputados 2025,C. Unidad por Chile,Distrito 2,De Tarapaca,Diputado,56,
Consuelo,Veloso Avila,Independiente Radical de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 18,Del Maule,Diputado,56,
Cristian,Tapia Ramos,Independiente Por La Democracia,,,,Diputados 2025,C. Unidad por Chile,Distrito 4,De Atacama,Diputado,56,
Felix,Bugueño Sotelo,Frente Amplio,,,,Diputados 2025,C. Unidad por Chile,Distrito 16,Del Libertador General Bernardo O'Higgins,Diputado,56,
Hector,Barria Angulo,Demócrata Cristiano,,,,Diputados 2025,C. Unidad por Chile,Distrito 25,De Los Lagos,Diputado,56,
Jorge,Diaz Ibarra,Demócrata Cristiano,,,,Diputados 2025,C. Unidad por Chile,Distrito 1,De Arica Y Parinacota,Diputado,56,
Lorena,Pizarro Sierra,Comunista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 13,Metropolitana De Santiago,Diputado,56,
Pablo,Bussenius Cornejo,Socialista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 28,De Magallanes Y De La Antartica Chilena,Diputado,56,
Romina,Cejas Hidalgo,Frente Amplio,,,,Diputados 2025,C. Unidad por Chile,Distrito 27,De Aysen Del General Carlos Ibañez Del Campo,Diputado,56,
Abraham,Diaz Mamani,Demócrata Cristiano,,,,Diputados 2025,C. Unidad por Chile,Distrito 2,De Tarapaca,Diputado,57,
Carla,Matus Gonzalez,Independiente Por La Democracia,,,,Diputados 2025,C. Unidad por Chile,Distrito 4,De Atacama,Diputado,57,
Florenia,Carvajal Cid,Por La Democracia,,,,Diputados 2025,C. Unidad por Chile,Distrito 16,Del Libertador General Bernardo O'Higgins,Diputado,57,
Gael,Yeomans Araya,Frente Amplio,,,,Diputados 2025,C. Unidad por Chile,Distrito 13,Metropolitana De Santiago,Diputado,57,
Giovanna,Calle Capuma,Por La Democracia,,,,Diputados 2025,C. Unidad por Chile,Distrito 1,De Arica Y Parinacota,Diputado,57,
Hector,Ulloa Aguilera,Independiente Por La Democracia,,,,Diputados 2025,C. Unidad por Chile,Distrito 26,De Los Lagos,Diputado,57,
Jaime,Figueroa Leviguan,Frente Amplio,,,,Diputados 2025,C. Unidad por Chile,Distrito 25,De Los Lagos,Diputado,57,
Lucia,Gonzalez Gaete,Demócrata Cristiano,,,,Diputados 2025,C. Unidad por Chile,Distrito 18,Del Maule,Diputado,57,
Luperciano,Muñoz Gonzalez,Independiente Radical de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 27,De Aysen Del General Carlos Ibañez Del Campo,Diputado,57,
Marcos,Ilabaca Cerda,Socialista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 24,De Los Rios,Diputado,57,
Raul,Soto Mardones,Por La Democracia,,,,Diputados 2025,C. Unidad por Chile,Distrito 15,Del Libertador General Bernardo O'Higgins,Diputado,57,
Sebastian Patricio,Videla Castillo,Independiente Liberal de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 3,De Antofagasta,Diputado,57,
Andrea,Parra Sauterel,Por La Democracia,,,,Diputados 2025,C. Unidad por Chile,Distrito 22,De La Araucania,Diputado,58,
Andres,Giordano Salazar,Frente Amplio,,,,Diputados 2025,C. Unidad por Chile,Distrito 9,Metropolitana De Santiago,Diputado,58,
Carolina,Cucumides Calderon,Independiente Socialista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 16,Del Libertador General Bernardo O'Higgins,Diputado,58,
Cristobal,Barra Catalan,Por La Democracia,,,,Diputados 2025,C. Unidad por Chile,Distrito 13,Metropolitana De Santiago,Diputado,58,
Daniela,Serrano Salazar,Comunista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 12,Metropolitana De Santiago,Diputado,58,
Ericka,Portilla Barrios,Comunista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 4,De Atacama,Diputado,58,
Fernando,Zamorano Peralta,Por La Democracia,,,,Diputados 2025,C. Unidad por Chile,Distrito 15,Del Libertador General Bernardo O'Higgins,Diputado,58,
Jaime,Araya Guerrero,Independiente Por La Democracia,,,,Diputados 2025,C. Unidad por Chile,Distrito 3,De Antofagasta,Diputado,58,
Jaime,Saez Quiroz,Frente Amplio,,,,Diputados 2025,C. Unidad por Chile,Distrito 26,De Los Lagos,Diputado,58,
Matias,Fernandez Hartwig,Frente Amplio,,,,Diputados 2025,C. Unidad por Chile,Distrito 24,De Los Rios,Diputado,58,
Nataly Javiera,Oyarzo Cardenas,Liberal de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 25,De Los Lagos,Diputado,58,
Noemi,Salinas Polanco,Frente Amplio,,,,Diputados 2025,C. Unidad por Chile,Distrito 2,De Tarapaca,Diputado,58,
Patricio,Aylwin Fuentealba,Demócrata Cristiano,,,,Diputados 2025,C. Unidad por Chile,Distrito 27,De Aysen Del General Carlos Ibañez Del Campo,Diputado,58,
Raul,Leiva Carvajal,Socialista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 14,Metropolitana De Santiago,Diputado,58,
Roberto,Celedon Fernandez,Independiente Frente Amplio,,,,Diputados 2025,C. Unidad por Chile,Distrito 17,Del Maule,Diputado,58,
Rodrigo Alfonso,Rettig Vargas,Liberal de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 11,Metropolitana De Santiago,Diputado,58,
Rodrigo,Hermosilla Gatica,Socialista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 18,Del Maule,Diputado,58,
Sandra,Flores Contreras,Socialista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 1,De Arica Y Parinacota,Diputado,58,
Carolina,Tello Rojas,Frente Amplio,,,,Diputados 2025,C. Unidad por Chile,Distrito 5,De Coquimbo,Diputado,59,
Gloria,Paredes Valdes,Demócrata Cristiano,,,,Diputados 2025,C. Unidad por Chile,Distrito 16,Del Libertador General Bernardo O'Higgins,Diputado,59,
Juan,Navarro Romero,Comunista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 12,Metropolitana De Santiago,Diputado,59,
Leonardo,Jofre Rios,Frente Amplio,,,,Diputados 2025,C. Unidad por Chile,Distrito 9,Metropolitana De Santiago,Diputado,59,
Manuel,Ballesteros Curumilla,Socialista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 26,De Los Lagos,Diputado,59,
Marcela,Hevia Cubillos,Independiente Liberal de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 11,Metropolitana De Santiago,Diputado,59,
Monica,Muñoz Guajardo,Por La Democracia,,,,Diputados 2025,C. Unidad por Chile,Distrito 18,Del Maule,Diputado,59,
Nataly,Rojas Seguel,Frente Amplio,,,,Diputados 2025,C. Unidad por Chile,Distrito 17,Del Maule,Diputado,59,
Pablo,Zenteno Muñoz,Comunista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 4,De Atacama,Diputado,59,
Patricio,Poza Barrera,Por La Democracia,,,,Diputados 2025,C. Unidad por Chile,Distrito 22,De La Araucania,Diputado,59,
Paulina,Lizana Martinez,Comunista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 3,De Antofagasta,Diputado,59,
Raisa,Martinez Muñoz,Comunista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 15,Del Libertador General Bernardo O'Higgins,Diputado,59,
Ramon,Espinoza Sandoval,Independiente Por La Democracia,,,,Diputados 2025,C. Unidad por Chile,Distrito 25,De Los Lagos,Diputado,59,
Renata,Vasquez Aldunce,Demócrata Cristiano,,,,Diputados 2025,C. Unidad por Chile,Distrito 13,Metropolitana De Santiago,Diputado,59,
Roberto,Soto Ferrada,Socialista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 14,Metropolitana De Santiago,Diputado,59,
Ruben,Oyarzo Figueroa,Radical de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 8,Metropolitana De Santiago,Diputado,59,
Waldo,Flores Vera,Demócrata Cristiano,,,,Diputados 2025,C. Unidad por Chile,Distrito 24,De Los Rios,Diputado,59,
Alexis,Osses Moyano,Comunista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 26,De Los Lagos,Diputado,60,
Boris,Barrera Moreno,Comunista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 9,Metropolitana De Santiago,Diputado,60,
Clara,Sagardia Cabezas,Frente Amplio,,,,Diputados 2025,C. Unidad por Chile,Distrito 21,Del Biobio,Diputado,60,
Constanza,Schonhaut Soto,Frente Amplio,,,,Diputados 2025,C. Unidad por Chile,Distrito 11,Metropolitana De Santiago,Diputado,60,
Cosme,Mellado Pino,Radical de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 16,Del Libertador General Bernardo O'Higgins,Diputado,60,
Daniel Manouchehri,Moghadam Kashan Lobos,Socialista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 5,De Coquimbo,Diputado,60,1
Elizabeth,Zuñiga Cruz,Radical de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 13,Metropolitana De Santiago,Diputado,60,
Emilia,Nuyado Ancapichun,Socialista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 25,De Los Lagos,Diputado,60,
Gonzalo,Winter Etcheberry,Frente Amplio,,,,Diputados 2025,C. Unidad por Chile,Distrito 10,Metropolitana De Santiago,Diputado,60,
Juan,Latorre Riveros,Frente Amplio,,,,Diputados 2025,C. Unidad por Chile,Distrito 6,De Valparaiso,Diputado,60,
Karina,Cartagena Bastias,Frente Amplio,,,,Diputados 2025,C. Unidad por Chile,Distrito 18,Del Maule,Diputado,60,
Luis,Penchuleo Morales,Frente Amplio,,,,Diputados 2025,C. Unidad por Chile,Distrito 22,De La Araucania,Diputado,60,
Marcela,Hernando Perez,Radical de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 3,De Antofagasta,Diputado,60,
Marisela,Santibañez Novoa,Independiente Comunista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 14,Metropolitana De Santiago,Diputado,60,
Pamela,Bordones Olivares,Independiente Socialista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 4,De Atacama,Diputado,60,
Priscilla,Castillo Gerli,Demócrata Cristiano,,,,Diputados 2025,C. Unidad por Chile,Distrito 17,Del Maule,Diputado,60,
Simon,Ramirez Gonzalez,Frente Amplio,,,,Diputados 2025,C. Unidad por Chile,Distrito 12,Metropolitana De Santiago,Diputado,60,
Tomas,Lagomarsino Guzman,Radical de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 7,De Valparaiso,Diputado,60,
Valentina,Caceres Monsalvez,Independiente Frente Amplio,,,,Diputados 2025,C. Unidad por Chile,Distrito 15,Del Libertador General Bernardo O'Higgins,Diputado,60,
Vanessa,Huaiquimilla Pinochet,Por La Democracia,,,,Diputados 2025,C. Unidad por Chile,Distrito 24,De Los Rios,Diputado,60,
Viviana Soledad,Delgado Riquelme,Liberal de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 8,Metropolitana De Santiago,Diputado,60,
Adolfo,Millabur Ñancuil,Independiente Frente Amplio,,,,Diputados 2025,C. Unidad por Chile,Distrito 21,Del Biobio,Diputado,61,
Carola,Rivero Canales,Socialista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 9,Metropolitana De Santiago,Diputado,61,
Carolina,Herrera Contreras,Independiente Socialista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 15,Del Libertador General Bernardo O'Higgins,Diputado,61,
Cristopher,Valdivia Olate,Liberal de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 8,Metropolitana De Santiago,Diputado,61,
Daniel,Melo Contreras,Socialista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 13,Metropolitana De Santiago,Diputado,61,
Emilia,Schneider Videla,Frente Amplio,,,,Diputados 2025,C. Unidad por Chile,Distrito 10,Metropolitana De Santiago,Diputado,61,
Feve,Hugo Lorca,Demócrata Cristiano,,,,Diputados 2025,C. Unidad por Chile,Distrito 26,De Los Lagos,Diputado,61,
Francisca,Bello Campos,Frente Amplio,,,,Diputados 2025,C. Unidad por Chile,Distrito 6,De Valparaiso,Diputado,61,
Ignacio,Achurra Diaz,Frente Amplio,,,,Diputados 2025,C. Unidad por Chile,Distrito 14,Metropolitana De Santiago,Diputado,61,
Isidora,Alcalde Egaña,Frente Amplio,,,,Diputados 2025,C. Unidad por Chile,Distrito 11,Metropolitana De Santiago,Diputado,61,
Javier,Muñoz Riquelme,Demócrata Cristiano,,,,Diputados 2025,C. Unidad por Chile,Distrito 17,Del Maule,Diputado,61,
Jorge,Brito Hasbun,Frente Amplio,,,,Diputados 2025,C. Unidad por Chile,Distrito 7,De Valparaiso,Diputado,61,
Juan,Santana Castillo,Socialista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 4,De Atacama,Diputado,61,
Lorenna,Saldias Yañez,Radical de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 24,De Los Rios,Diputado,61,
Manuela,Royo Letelier,Independiente Frente Amplio,,,,Diputados 2025,C. Unidad por Chile,Distrito 22,De La Araucania,Diputado,61,
Marco,Velarde Salinas,Frente Amplio,,,,Diputados 2025,C. Unidad por Chile,Distrito 12,Metropolitana De Santiago,Diputado,61,
Margarita,Montecino Cortez,Demócrata Cristiano,,,,Diputados 2025,C. Unidad por Chile,Distrito 3,De Antofagasta,Diputado,61,
Nathalie,Castillo Rojas,Comunista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 5,De Coquimbo,Diputado,61,
Alejandro Javier,Bernales Maldonado,Liberal de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 26,De Los Lagos,Diputado,62,
Bernardo,Salinas Maya,Independiente Comunista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 5,De Coquimbo,Diputado,62,
