eleccion,nro_lista,candidato,region,territorio,lista,partido,gano
Diputado,58,Katherine Perez Contreras,Metropolitana De Santiago,Distrito 10,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,58,Lucia Ortiz Leon,De Valparaiso,Distrito 7,"B. Verdes, Regionalistas y Humanistas",Independiente Acción Humanista,NO
Diputado,58,Maria Romero Peña,De Ñuble,Distrito 19,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,58,Rosa Pinto Rojas,De Coquimbo,Distrito 5,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,59,Catalina Medina Rivas,De Ñuble,Distrito 19,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,59,Claudio Valle Figueroa,De Valparaiso,Distrito 7,"B. Verdes, Regionalistas y Humanistas",Independiente Acción Humanista,NO
Diputado,59,Jorge Rivas Figueroa,Del Biobio,Distrito 21,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,59,Luis Hurtado Muñoz,De Valparaiso,Distrito 6,"B. Verdes, Regionalistas y Humanistas",Independiente Acción Humanista,NO
Diputado,59,Marcelo Carrasco Carrasco,De La Araucania,Distrito 23,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,59,Marcia Soto Diaz,Metropolitana De Santiago,Distrito 10,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,60,Ana Albornoz Cuevas,Del Biobio,Distrito 20,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,60,Fanny Araya Bahamonde,De Ñuble,Distrito 19,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,60,Pamela Ñancupil Martin,De La Araucania,Distrito 23,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,61,Daniel Hidalgo Veloso,De La Araucania,Distrito 23,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,61,Elsa Olave Soto,Del Biobio,Distrito 20,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,61,Patricia Torres Astete,De Ñuble,Distrito 19,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,62,Oscar Albornoz Torres,De La Araucania,Distrito 23,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,62,Romina Toledo Quevedo,Del Biobio,Distrito 20,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,63,Ana Nicul Sabaria,De La Araucania,Distrito 23,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,63,Mario Gonzalez Figueroa,Del Biobio,Distrito 20,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,64,Alejandro Navarro Brain,Del Biobio,Distrito 20,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,64,Hector Cumilaf Huentemil,De La Araucania,Distrito 23,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,65,Gustavo Sotomayor Olate,Del Biobio,Distrito 20,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,65,Patricia Escobar Apablaza,De La Araucania,Distrito 23,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,66,Felipe Romero Pedreros,Del Biobio,Distrito 20,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,67,Jorge Aguayo Cerro,Del Biobio,Distrito 20,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Senador,11,Yasna Provoste Campillay,De Atacama,Circunscripción Senatorial 4,C. Unidad por Chile,Demócrata Cristiano,SI
Senador,12,Cinthia Vargas Morales,De Arica Y Parinacota,Circunscripción Senatorial 1,C. Unidad por Chile,Independiente Socialista de Chile,NO
Senador,12,Daniella Cicardini Milla,De Atacama,Circunscripción Senatorial 4,C. Unidad por Chile,Socialista de Chile,NO
Senador,12,Danisa Astudillo Peiretti,De Tarapaca,Circunscripción Senatorial 2,C. Unidad por Chile,Socialista de Chile,NO
Senador,13,Francisco Huenchumilla Jaramillo,De La Araucania,Circunscripción Senatorial 11,C. Unidad por Chile,Demócrata Cristiano,SI
Senador,13,Gonzalo Prieto Navarrete,De Tarapaca,Circunscripción Senatorial 2,C. Unidad por Chile,Por La Democracia,NO
Senador,13,Vlado Mirosevic Verdugo,De Arica Y Parinacota,Circunscripción Senatorial 1,C. Unidad por Chile,Liberal de Chile,NO
Senador,13,Ximena Ordenes Neira,De Aysen Del General Carlos Ibañez Del Campo,Circunscripción Senatorial 14,C. Unidad por Chile,Independiente Por La Democracia,SI
Senador,14,Carmen Hertz Cadiz,De Arica Y Parinacota,Circunscripción Senatorial 1,C. Unidad por Chile,Comunista de Chile,NO
Senador,14,Elisa Loncon Antileo,De La Araucania,Circunscripción Senatorial 11,C. Unidad por Chile,Independiente Comunista de Chile,NO
Senador,14,Hugo Gutierrez Galvez,De Tarapaca,Circunscripción Senatorial 2,C. Unidad por Chile,Comunista de Chile,NO
Senador,14,Tomas Laibe Saez,De Aysen Del General Carlos Ibañez Del Campo,Circunscripción Senatorial 14,C. Unidad por Chile,Socialista de Chile,NO
Senador,15,Karol Cariola Oliva,De Valparaiso,Circunscripción Senatorial 6,C. Unidad por Chile,Comunista de Chile,NO
Senador,15,Ricardo Celis Araya,De La Araucania,Circunscripción Senatorial 11,C. Unidad por Chile,Independiente Por La Democracia,NO
Senador,15,Rodrigo Araya Morales,De Aysen Del General Carlos Ibañez Del Campo,Circunscripción Senatorial 14,C. Unidad por Chile,Frente Amplio,NO
Senador,16,Carolina Marzan Pinto,De Valparaiso,Circunscripción Senatorial 6,C. Unidad por Chile,Por La Democracia,NO
Senador,16,Eugenio Tuma Zedan,De La Araucania,Circunscripción Senatorial 11,C. Unidad por Chile,Independiente Liberal de Chile,NO
Senador,16,Paulina Vodanovic Rojas,Del Maule,Circunscripción Senatorial 9,C. Unidad por Chile,Socialista de Chile,SI
Senador,17,Diego Ibañez Cotroneo,De Valparaiso,Circunscripción Senatorial 6,C. Unidad por Chile,Frente Amplio,NO
Senador,17,Ronald Kliebs Yañez,De La Araucania,Circunscripción Senatorial 11,C. Unidad por Chile,Socialista de Chile,NO
Senador,17,Sixto Gonzalez Soto,Del Maule,Circunscripción Senatorial 9,C. Unidad por Chile,Comunista de Chile,NO
Senador,18,Beatriz Sanchez Muñoz,Del Maule,Circunscripción Senatorial 9,C. Unidad por Chile,Frente Amplio,NO
Senador,18,Cristian Epuin Brevis,De La Araucania,Circunscripción Senatorial 11,C. Unidad por Chile,Radical de Chile,NO
Senador,18,Monica Alicia Valencia Becerra,De Valparaiso,Circunscripción Senatorial 6,C. Unidad por Chile,Independiente Liberal de Chile,NO
Senador,19,Jazmin Aguilar Ortiz,De Valparaiso,Circunscripción Senatorial 6,C. Unidad por Chile,Radical de Chile,NO
Senador,19,Ricardo Lizama Soto,Del Maule,Circunscripción Senatorial 9,C. Unidad por Chile,Por La Democracia,NO
Senador,20,Jose Miguel Insulza Salinas,De Valparaiso,Circunscripción Senatorial 6,C. Unidad por Chile,Socialista de Chile,NO
Senador,20,Juan Carlos Figueroa Urrutia,Del Maule,Circunscripción Senatorial 9,C. Unidad por Chile,Demócrata Cristiano,NO
Senador,21,Alexis Sepulveda Soto,Del Maule,Circunscripción Senatorial 9,C. Unidad por Chile,Radical de Chile,NO
Diputado,53,Javiera Morales Alvarado,De Magallanes Y De La Antartica Chilena,Distrito 28,C. Unidad por Chile,Frente Amplio,SI
Diputado,54,Veronica Aguilar Martinez,De Magallanes Y De La Antartica Chilena,Distrito 28,C. Unidad por Chile,Independiente Radical de Chile,NO
Diputado,55,Andrea Macias Palma,De Aysen Del General Carlos Ibañez Del Campo,Distrito 27,C. Unidad por Chile,Socialista de Chile,SI
Diputado,55,Ivania Salinas Villanueva,De Magallanes Y De La Antartica Chilena,Distrito 28,C. Unidad por Chile,Comunista de Chile,NO
Diputado,55,Luis Malla Valenzuela,De Arica Y Parinacota,Distrito 1,C. Unidad por Chile,Liberal de Chile,SI
Diputado,55,Matias Ramirez Pascal,De Tarapaca,Distrito 2,C. Unidad por Chile,Comunista de Chile,NO
Diputado,56,Ana Maria Bravo Castro,De Los Rios,Distrito 24,C. Unidad por Chile,Socialista de Chile,NO
Diputado,56,Carlos Jose Carvajal Gallardo,De Tarapaca,Distrito 2,C. Unidad por Chile,Independiente Por La Democracia,NO
Diputado,56,Consuelo Veloso Avila,Del Maule,Distrito 18,C. Unidad por Chile,Independiente Radical de Chile,SI
Diputado,56,Cristian Tapia Ramos,De Atacama,Distrito 4,C. Unidad por Chile,Independiente Por La Democracia,SI
Diputado,56,Felix Bugueño Sotelo,Del Libertador General Bernardo O'Higgins,Distrito 16,C. Unidad por Chile,Frente Amplio,SI
Diputado,56,Hector Barria Angulo,De Los Lagos,Distrito 25,C. Unidad por Chile,Demócrata Cristiano,SI
Diputado,56,Jorge Diaz Ibarra,De Arica Y Parinacota,Distrito 1,C. Unidad por Chile,Demócrata Cristiano,SI
Diputado,56,Lorena Pizarro Sierra,Metropolitana De Santiago,Distrito 13,C. Unidad por Chile,Comunista de Chile,SI
Diputado,56,Pablo Bussenius Cornejo,De Magallanes Y De La Antartica Chilena,Distrito 28,C. Unidad por Chile,Socialista de Chile,NO
Diputado,56,Romina Cejas Hidalgo,De Aysen Del General Carlos Ibañez Del Campo,Distrito 27,C. Unidad por Chile,Frente Amplio,NO
Diputado,57,Abraham Diaz Mamani,De Tarapaca,Distrito 2,C. Unidad por Chile,Demócrata Cristiano,NO
Diputado,57,Carla Matus Gonzalez,De Atacama,Distrito 4,C. Unidad por Chile,Independiente Por La Democracia,NO
Diputado,57,Florenia Carvajal Cid,Del Libertador General Bernardo O'Higgins,Distrito 16,C. Unidad por Chile,Por La Democracia,NO
Diputado,57,Gael Yeomans Araya,Metropolitana De Santiago,Distrito 13,C. Unidad por Chile,Frente Amplio,SI
Diputado,57,Giovanna Calle Capuma,De Arica Y Parinacota,Distrito 1,C. Unidad por Chile,Por La Democracia,NO
Diputado,57,Hector Ulloa Aguilera,De Los Lagos,Distrito 26,C. Unidad por Chile,Independiente Por La Democracia,SI
Diputado,57,Jaime Figueroa Leviguan,De Los Lagos,Distrito 25,C. Unidad por Chile,Frente Amplio,NO
Diputado,57,Lucia Gonzalez Gaete,Del Maule,Distrito 18,C. Unidad por Chile,Demócrata Cristiano,NO
Diputado,57,Luperciano Muñoz Gonzalez,De Aysen Del General Carlos Ibañez Del Campo,Distrito 27,C. Unidad por Chile,Independiente Radical de Chile,NO
Diputado,57,Marcos Ilabaca Cerda,De Los Rios,Distrito 24,C. Unidad por Chile,Socialista de Chile,SI
Diputado,57,Raul Soto Mardones,Del Libertador General Bernardo O'Higgins,Distrito 15,C. Unidad por Chile,Por La Democracia,SI
Diputado,57,Sebastian Patricio Videla Castillo,De Antofagasta,Distrito 3,C. Unidad por Chile,Independiente Liberal de Chile,NO
Diputado,58,Andrea Parra Sauterel,De La Araucania,Distrito 22,C. Unidad por Chile,Por La Democracia,SI
Diputado,58,Andres Giordano Salazar,Metropolitana De Santiago,Distrito 9,C. Unidad por Chile,Frente Amplio,NO
Diputado,58,Carolina Cucumides Calderon,Del Libertador General Bernardo O'Higgins,Distrito 16,C. Unidad por Chile,Independiente Socialista de Chile,SI
Diputado,58,Cristobal Barra Catalan,Metropolitana De Santiago,Distrito 13,C. Unidad por Chile,Por La Democracia,NO
Diputado,58,Daniela Serrano Salazar,Metropolitana De Santiago,Distrito 12,C. Unidad por Chile,Comunista de Chile,SI
Diputado,58,Ericka Portilla Barrios,De Atacama,Distrito 4,C. Unidad por Chile,Comunista de Chile,NO
Diputado,58,Fernando Zamorano Peralta,Del Libertador General Bernardo O'Higgins,Distrito 15,C. Unidad por Chile,Por La Democracia,SI
Diputado,58,Jaime Araya Guerrero,De Antofagasta,Distrito 3,C. Unidad por Chile,Independiente Por La Democracia,SI
Diputado,58,Jaime Saez Quiroz,De Los Lagos,Distrito 26,C. Unidad por Chile,Frente Amplio,NO
Diputado,58,Matias Fernandez Hartwig,De Los Rios,Distrito 24,C. Unidad por Chile,Frente Amplio,SI
Diputado,58,Nataly Javiera Oyarzo Cardenas,De Los Lagos,Distrito 25,C. Unidad por Chile,Liberal de Chile,NO
Diputado,58,Noemi Salinas Polanco,De Tarapaca,Distrito 2,C. Unidad por Chile,Frente Amplio,NO
Diputado,58,Patricio Aylwin Fuentealba,De Aysen Del General Carlos Ibañez Del Campo,Distrito 27,C. Unidad por Chile,Demócrata Cristiano,NO
Diputado,58,Raul Leiva Carvajal,Metropolitana De Santiago,Distrito 14,C. Unidad por Chile,Socialista de Chile,SI
Diputado,58,Roberto Celedon Fernandez,Del Maule,Distrito 17,C. Unidad por Chile,Independiente Frente Amplio,SI
Diputado,58,Rodrigo Alfonso Rettig Vargas,Metropolitana De Santiago,Distrito 11,C. Unidad por Chile,Liberal de Chile,NO
Diputado,58,Rodrigo Hermosilla Gatica,Del Maule,Distrito 18,C. Unidad por Chile,Socialista de Chile,NO
Diputado,58,Sandra Flores Contreras,De Arica Y Parinacota,Distrito 1,C. Unidad por Chile,Socialista de Chile,NO
Diputado,59,Carolina Tello Rojas,De Coquimbo,Distrito 5,C. Unidad por Chile,Frente Amplio,SI
Diputado,59,Gloria Paredes Valdes,Del Libertador General Bernardo O'Higgins,Distrito 16,C. Unidad por Chile,Demócrata Cristiano,NO
Diputado,59,Juan Navarro Romero,Metropolitana De Santiago,Distrito 12,C. Unidad por Chile,Comunista de Chile,NO
Diputado,59,Leonardo Jofre Rios,Metropolitana De Santiago,Distrito 9,C. Unidad por Chile,Frente Amplio,NO
Diputado,59,Manuel Ballesteros Curumilla,De Los Lagos,Distrito 26,C. Unidad por Chile,Socialista de Chile,NO
Diputado,59,Marcela Hevia Cubillos,Metropolitana De Santiago,Distrito 11,C. Unidad por Chile,Independiente Liberal de Chile,NO
Diputado,59,Monica Muñoz Guajardo,Del Maule,Distrito 18,C. Unidad por Chile,Por La Democracia,NO
Diputado,59,Nataly Rojas Seguel,Del Maule,Distrito 17,C. Unidad por Chile,Frente Amplio,NO
Diputado,59,Pablo Zenteno Muñoz,De Atacama,Distrito 4,C. Unidad por Chile,Comunista de Chile,NO
Diputado,59,Patricio Poza Barrera,De La Araucania,Distrito 22,C. Unidad por Chile,Por La Democracia,NO
Diputado,59,Paulina Lizana Martinez,De Antofagasta,Distrito 3,C. Unidad por Chile,Comunista de Chile,NO
Diputado,59,Raisa Martinez Muñoz,Del Libertador General Bernardo O'Higgins,Distrito 15,C. Unidad por Chile,Comunista de Chile,NO
Diputado,59,Ramon Espinoza Sandoval,De Los Lagos,Distrito 25,C. Unidad por Chile,Independiente Por La Democracia,NO
Diputado,59,Renata Vasquez Aldunce,Metropolitana De Santiago,Distrito 13,C. Unidad por Chile,Demócrata Cristiano,NO
Diputado,59,Roberto Soto Ferrada,Metropolitana De Santiago,Distrito 14,C. Unidad por Chile,Socialista de Chile,NO
Diputado,59,Ruben Oyarzo Figueroa,Metropolitana De Santiago,Distrito 8,C. Unidad por Chile,Radical de Chile,NO
Diputado,59,Waldo Flores Vera,De Los Rios,Distrito 24,C. Unidad por Chile,Demócrata Cristiano,NO
Diputado,60,Alexis Osses Moyano,De Los Lagos,Distrito 26,C. Unidad por Chile,Comunista de Chile,NO
Diputado,60,Boris Barrera Moreno,Metropolitana De Santiago,Distrito 9,C. Unidad por Chile,Comunista de Chile,SI
Diputado,60,Clara Sagardia Cabezas,Del Biobio,Distrito 21,C. Unidad por Chile,Frente Amplio,NO
Diputado,60,Constanza Schonhaut Soto,Metropolitana De Santiago,Distrito 11,C. Unidad por Chile,Frente Amplio,SI
Diputado,60,Cosme Mellado Pino,Del Libertador General Bernardo O'Higgins,Distrito 16,C. Unidad por Chile,Radical de Chile,NO
Diputado,60,Daniel Manouchehri Moghadam Kashan Lobos,De Coquimbo,Distrito 5,C. Unidad por Chile,Socialista de Chile,NO
Diputado,60,Elizabeth Zuñiga Cruz,Metropolitana De Santiago,Distrito 13,C. Unidad por Chile,Radical de Chile,NO
Diputado,60,Emilia Nuyado Ancapichun,De Los Lagos,Distrito 25,C. Unidad por Chile,Socialista de Chile,SI
Diputado,60,Gonzalo Winter Etcheberry,Metropolitana De Santiago,Distrito 10,C. Unidad por Chile,Frente Amplio,SI
Diputado,60,Juan Latorre Riveros,De Valparaiso,Distrito 6,C. Unidad por Chile,Frente Amplio,NO
Diputado,60,Karina Cartagena Bastias,Del Maule,Distrito 18,C. Unidad por Chile,Frente Amplio,NO
Diputado,60,Luis Penchuleo Morales,De La Araucania,Distrito 22,C. Unidad por Chile,Frente Amplio,NO
Diputado,60,Marcela Hernando Perez,De Antofagasta,Distrito 3,C. Unidad por Chile,Radical de Chile,SI
Diputado,60,Marisela Santibañez Novoa,Metropolitana De Santiago,Distrito 14,C. Unidad por Chile,Independiente Comunista de Chile,SI
Diputado,60,Pamela Bordones Olivares,De Atacama,Distrito 4,C. Unidad por Chile,Independiente Socialista de Chile,NO
Diputado,60,Priscilla Castillo Gerli,Del Maule,Distrito 17,C. Unidad por Chile,Demócrata Cristiano,SI
Diputado,60,Simon Ramirez Gonzalez,Metropolitana De Santiago,Distrito 12,C. Unidad por Chile,Frente Amplio,NO
Diputado,60,Tomas Lagomarsino Guzman,De Valparaiso,Distrito 7,C. Unidad por Chile,Radical de Chile,NO
Diputado,60,Valentina Caceres Monsalvez,Del Libertador General Bernardo O'Higgins,Distrito 15,C. Unidad por Chile,Independiente Frente Amplio,SI
Diputado,60,Vanessa Huaiquimilla Pinochet,De Los Rios,Distrito 24,C. Unidad por Chile,Por La Democracia,NO
Diputado,60,Viviana Soledad Delgado Riquelme,Metropolitana De Santiago,Distrito 8,C. Unidad por Chile,Liberal de Chile,NO
Diputado,61,Adolfo Millabur Ñancuil,Del Biobio,Distrito 21,C. Unidad por Chile,Independiente Frente Amplio,NO
Diputado,61,Carola Rivero Canales,Metropolitana De Santiago,Distrito 9,C. Unidad por Chile,Socialista de Chile,NO
Diputado,61,Carolina Herrera Contreras,Del Libertador General Bernardo O'Higgins,Distrito 15,C. Unidad por Chile,Independiente Socialista de Chile,NO
Diputado,61,Cristopher Valdivia Olate,Metropolitana De Santiago,Distrito 8,C. Unidad por Chile,Liberal de Chile,NO
Diputado,61,Daniel Melo Contreras,Metropolitana De Santiago,Distrito 13,C. Unidad por Chile,Socialista de Chile,NO
Diputado,61,Emilia Schneider Videla,Metropolitana De Santiago,Distrito 10,C. Unidad por Chile,Frente Amplio,SI
Diputado,61,Feve Hugo Lorca,De Los Lagos,Distrito 26,C. Unidad por Chile,Demócrata Cristiano,NO
Diputado,61,Francisca Bello Campos,De Valparaiso,Distrito 6,C. Unidad por Chile,Frente Amplio,NO
Diputado,61,Ignacio Achurra Diaz,Metropolitana De Santiago,Distrito 14,C. Unidad por Chile,Frente Amplio,SI
Diputado,61,Isidora Alcalde Egaña,Metropolitana De Santiago,Distrito 11,C. Unidad por Chile,Frente Amplio,NO
Diputado,61,Javier Muñoz Riquelme,Del Maule,Distrito 17,C. Unidad por Chile,Demócrata Cristiano,SI
Diputado,61,Jorge Brito Hasbun,De Valparaiso,Distrito 7,C. Unidad por Chile,Frente Amplio,SI
Diputado,61,Juan Santana Castillo,De Atacama,Distrito 4,C. Unidad por Chile,Socialista de Chile,SI
Diputado,61,Lorenna Saldias Yañez,De Los Rios,Distrito 24,C. Unidad por Chile,Radical de Chile,NO
Diputado,61,Manuela Royo Letelier,De La Araucania,Distrito 22,C. Unidad por Chile,Independiente Frente Amplio,NO
Diputado,61,Marco Velarde Salinas,Metropolitana De Santiago,Distrito 12,C. Unidad por Chile,Frente Amplio,NO
Diputado,61,Margarita Montecino Cortez,De Antofagasta,Distrito 3,C. Unidad por Chile,Demócrata Cristiano,NO
Diputado,61,Nathalie Castillo Rojas,De Coquimbo,Distrito 5,C. Unidad por Chile,Comunista de Chile,SI
Diputado,62,Alejandro Javier Bernales Maldonado,De Los Lagos,Distrito 26,C. Unidad por Chile,Liberal de Chile,NO
Diputado,62,Bernardo Salinas Maya,De Coquimbo,Distrito 5,C. Unidad por Chile,Independiente Comunista de Chile,SI
Diputado,62,Boris Duran Reyes,Del Maule,Distrito 17,C. Unidad por Chile,Socialista de Chile,NO
Diputado,62,Cesar Valenzuela Maass,Metropolitana De Santiago,Distrito 9,C. Unidad por Chile,Socialista de Chile,SI
Diputado,62,Cindy Solis Ibarra,Metropolitana De Santiago,Distrito 11,C. Unidad por Chile,Independiente Por La Democracia,NO
Diputado,62,Claudia Hasbun Faila,Metropolitana De Santiago,Distrito 12,C. Unidad por Chile,Socialista de Chile,NO
Diputado,62,Felipe Camaño Cardenas,De Ñuble,Distrito 19,C. Unidad por Chile,Independiente Demócrata Cristiano,SI
Diputado,62,Gabriela Carrasco Urquieta,De Antofagasta,Distrito 3,C. Unidad por Chile,Frente Amplio,NO
Diputado,62,Gustavo Gatica Villarroel,Metropolitana De Santiago,Distrito 8,C. Unidad por Chile,Independiente Comunista de Chile,SI
Diputado,62,Jaime Bassa Mercado,De Valparaiso,Distrito 7,C. Unidad por Chile,Frente Amplio,SI
Diputado,62,Lorena Fries Monleon,Metropolitana De Santiago,Distrito 10,C. Unidad por Chile,Frente Amplio,SI
Diputado,62,Lorena Perez Larenas,Del Biobio,Distrito 21,C. Unidad por Chile,Radical de Chile,NO
Diputado,62,Marcela Riquelme Aliaga,Del Libertador General Bernardo O'Higgins,Distrito 15,C. Unidad por Chile,Independiente Radical de Chile,NO
Diputado,62,Nelson Venegas Salazar,De Valparaiso,Distrito 6,C. Unidad por Chile,Socialista de Chile,SI
Diputado,62,Nibaldo Meza Garfia,Metropolitana De Santiago,Distrito 14,C. Unidad por Chile,Demócrata Cristiano,NO
Diputado,62,Ximena Sepulveda Varas,De La Araucania,Distrito 22,C. Unidad por Chile,Independiente Demócrata Cristiano,NO
Diputado,63,Alejandra Placencia Cabello,Metropolitana De Santiago,Distrito 10,C. Unidad por Chile,Comunista de Chile,NO
Diputado,63,Anwar Farran Veloso,Del Biobio,Distrito 21,C. Unidad por Chile,Independiente Radical de Chile,NO
Diputado,63,Christian Pino Lopez,Metropolitana De Santiago,Distrito 14,C. Unidad por Chile,Independiente Radical de Chile,NO
Diputado,63,Erick Solo De Zaldivar Garay,De Ñuble,Distrito 19,C. Unidad por Chile,Frente Amplio,NO
Diputado,63,Gabriel Rojas Rojas,Del Maule,Distrito 17,C. Unidad por Chile,Independiente Socialista de Chile,NO
Diputado,63,Jorge Insunza Gregorio De Las Heras,De Coquimbo,Distrito 5,C. Unidad por Chile,Por La Democracia,NO
Diputado,63,Li Fridman Moses,Metropolitana De Santiago,Distrito 12,C. Unidad por Chile,Independiente Socialista de Chile,NO
Diputado,63,Luis Cuello Peña Y Lillo,De Valparaiso,Distrito 7,C. Unidad por Chile,Comunista de Chile,SI
Diputado,63,Marcos Barraza Gomez,Metropolitana De Santiago,Distrito 8,C. Unidad por Chile,Comunista de Chile,SI
Diputado,63,Maria Ester Olea Rodriguez,Metropolitana De Santiago,Distrito 11,C. Unidad por Chile,Radical de Chile,NO
Diputado,63,Mauricio Viñambres Adasme,De Valparaiso,Distrito 6,C. Unidad por Chile,Independiente Radical de Chile,NO
Diputado,63,Sandra Gonzalez Zamorano,Metropolitana De Santiago,Distrito 9,C. Unidad por Chile,Independiente Por La Democracia,NO
Diputado,64,Ana Muñoz Muñoz,Del Maule,Distrito 17,C. Unidad por Chile,Independiente Radical de Chile,NO
Diputado,64,Camila Musante Muller,Metropolitana De Santiago,Distrito 14,C. Unidad por Chile,Independiente Por La Democracia,NO
Diputado,64,Carlos Cuadrado Prats,Metropolitana De Santiago,Distrito 9,C. Unidad por Chile,Por La Democracia,SI
Diputado,64,Cecilia Celis Ahumada,Metropolitana De Santiago,Distrito 11,C. Unidad por Chile,Demócrata Cristiano,NO
Diputado,64,Claudia Atenas Soza,Metropolitana De Santiago,Distrito 8,C. Unidad por Chile,Demócrata Cristiano,NO
Diputado,64,Dinka Tomicic Bobadilla,Metropolitana De Santiago,Distrito 12,C. Unidad por Chile,Demócrata Cristiano,NO
Diputado,64,Iraci Hassler Jacob,Metropolitana De Santiago,Distrito 10,C. Unidad por Chile,Comunista de Chile,SI
Diputado,64,Josefa Javiera Del Pilar Balmaceda Vasquez,De Ñuble,Distrito 19,C. Unidad por Chile,Independiente Liberal de Chile,NO
Diputado,64,Luis Foncea Calderon,De Valparaiso,Distrito 6,C. Unidad por Chile,Independiente Por La Democracia,NO
Diputado,64,Patricio Pinilla Valencia,Del Biobio,Distrito 21,C. Unidad por Chile,Demócrata Cristiano,SI
Diputado,64,Rafael Vera Castillo,De Coquimbo,Distrito 5,C. Unidad por Chile,Independiente Radical de Chile,NO
Diputado,64,Roy Crichton Orellana,De Valparaiso,Distrito 7,C. Unidad por Chile,Demócrata Cristiano,NO
Diputado,65,Cesar Riquelme Alarcon,De Ñuble,Distrito 19,C. Unidad por Chile,Radical de Chile,NO
Diputado,65,Felipe Alfredo Rios Cuevas,De Valparaiso,Distrito 7,C. Unidad por Chile,Liberal de Chile,NO
Diputado,65,Fernanda Villegas Acevedo,Metropolitana De Santiago,Distrito 10,C. Unidad por Chile,Socialista de Chile,NO
Diputado,65,Juan Carlos Valdivia Lena,Metropolitana De Santiago,Distrito 8,C. Unidad por Chile,Independiente Demócrata Cristiano,NO
Diputado,65,Karen Medina Vasquez,Del Biobio,Distrito 21,C. Unidad por Chile,Independiente Demócrata Cristiano,NO
Diputado,65,Monica Arce Castro,Metropolitana De Santiago,Distrito 12,C. Unidad por Chile,Independiente Demócrata Cristiano,NO
Diputado,65,Pablo Del Rio Jimenez,Del Maule,Distrito 17,C. Unidad por Chile,Radical de Chile,NO
Diputado,65,Ricardo Cifuentes Lillo,De Coquimbo,Distrito 5,C. Unidad por Chile,Demócrata Cristiano,NO
Diputado,65,Sabas Ivan Chahuan Sarras,De Valparaiso,Distrito 6,C. Unidad por Chile,Independiente Liberal de Chile,NO
Diputado,66,Ana Maria Hernandez San Martin,Metropolitana De Santiago,Distrito 10,C. Unidad por Chile,Demócrata Cristiano,NO
Diputado,66,Francisco Crisostomo Llanos,De Ñuble,Distrito 19,C. Unidad por Chile,Socialista de Chile,SI
Diputado,66,Jaime Quintana Leal,De La Araucania,Distrito 23,C. Unidad por Chile,Por La Democracia,NO
Diputado,66,Manuel Murillo Calderon,De Valparaiso,Distrito 7,C. Unidad por Chile,Independiente Por La Democracia,NO
Diputado,66,Sofia Gonzalez Cortes,De Valparaiso,Distrito 6,C. Unidad por Chile,Comunista de Chile,SI
Diputado,66,Tatiana Urrutia Herrera,Metropolitana De Santiago,Distrito 8,C. Unidad por Chile,Frente Amplio,SI
Diputado,67,Claudia Mix Jimenez,Metropolitana De Santiago,Distrito 8,C. Unidad por Chile,Frente Amplio,NO
Diputado,67,Cristian Mella Andaur,De Valparaiso,Distrito 6,C. Unidad por Chile,Demócrata Cristiano,SI
Diputado,67,Helia Molina Milman,Metropolitana De Santiago,Distrito 10,C. Unidad por Chile,Por La Democracia,NO
Diputado,67,Jose Montalva Feuerhake,De La Araucania,Distrito 23,C. Unidad por Chile,Independiente Por La Democracia,SI
